topic,id, undecided ,movement
Tech,Tech Companies Should Be Required To Help Law Enforcement Execute Search Warrants To Access Customer Data,27.00,43.00
Tech,Video Games Will Make Us Smarter,37.00,47.00
Economics,Long Live Walmart,45.00,60.00
Economics,The Universal Basic Income Is The Safety Net Of The Future,45.00,63.00
Education,Charter Schools Are Overrated,36.00,45.00
Politics,The Special U.S.-Saudi Relationship Has Outlived Its Usefulness,46.00,63.00
Politics,Give Trump A Chance,29.00,49.00
Social Justice,Policing Is Racially Biased,27.00,36.00
Politics,Call A Convention To Amend The Constitution,45.00,52.00
Politics,Obama'S Foreign Policy Is A Failure,43.00,55.00
Politics,Gerrymandering Is Destroying The Political Center,30.00,47.00
Politics,Give Undocumented Immigrants A Path To Citizenship,24.00,45.00
Economics,Blame Big Pharma For Out-Of-Control Health Care Costs,39.00,52.00
Politics,The First Presidential Debate,30.00,54.00
Politics,Blame The Elites For The Trump Phenomenon,41.00,60.00
Environment,Climate Change: The Epa Has Gone Overboard,23.00,30.00
Politics,The President Has Usurped The Constitutional Power Of Congress,32.00,48.00
Environment,Hunters Conserve Wildlife,44.00,57.00
Economics,Eliminate Corporate Subsidies,51.00,66.00
Tech,Don'T Trust The Promise Of Artificial Intelligence,29.00,51.00
Social Justice,Free Speech Is Threatened On Campus,24.00,37.00
Social Justice,Lifespans Are Long Enough,32.00,44.00
Politics,"The U.S. Should Let In 100,000 Syrian Refugees",36.00,38.00
Social Justice,The Equal Protection Clause Forbids Racial Preferences In State University Admissions,44.00,56.00
Economics,Central Banks Can Print Prosperity,40.00,53.00
Politics,U.S. Prosecutors Have Too Much Power,42.00,54.00
Education,College Students Should Be Allowed To Take Smart Drugs,29.00,44.00
Economics,Raise The Federal Gas Tax To Fund Infrastructure,38.00,50.00
Politics,China And The U.S. Are Long-Term Enemies,38.00,
Social Justice,"Courts, Not Campuses, Should Decide Sexual Assault Cases",32.00,49.00
Politics,Containment Is Not Enough: Isis Must Be Defeated,21.00,47.00
Social Justice,The Equal Protection Clause Does Not Require States To License Same-Sex Marriages,34.00,36.00
Politics,Obama�S Iran Deal Is Good For America,44.00,51.00
Tech,Smart Technology Is Making Us Dumb,30.00,46.00
Social Justice,Abolish The Death Penalty,34.00,45.00
Politics,The President Has Exceeded His Constitutional Authority By Waging War Without Congressional Authorization,40.00,53.00
Tech,"The U.S. Should Adopt The ""Right To Be Forgotten"" Online",38.00,54.00
Politics,Liberals Are Stifling Intellectual Diversity On Campus,46.00,54.00
Politics,Declinists Be Damned: Bet On America,28.00,48.00
Economics,Amazon Is The Reader'S Friend,31.00,55.00
Tech,Genetically Modify Food,38.00,48.00
Social Justice,Legalize Assisted Suicide,25.00,45.00
Economics,Income Inequality Impairs The American Dream Of Upward Mobility,26.00,46.00
Politics,Mass Collection Of U.S. Phone Records Violates The Fourth Amendment,37.00,48.00
Politics,Flexing America'S Muscles In The Middle East Will Make Things Worse,43.00,51.00
Education,Embrace The Common Core,37.00,46.00
Politics,Individuals And Organizations Have A Constitutional Right To Unlimited Spending On Their Own Political Speech,18.00,36.00
Social Justice,Death Is Not Final,32.00,38.00
Other,Millennials Don�T Stand A Chance,35.00,52.00
Education,"More Clicks, Fewer Bricks: The Lecture Hall Is Obsolete",23.00,46.00
Politics,Russia Is A Marginal Power,32.00,51.00
Politics,The President Has Constitutional Power To Target And Kill U.S. Citizens Abroad,27.00,51.00
Social Justice,Affirmative Action On Campus Does More Harm Than Good,30.00,39.00
Politics,Snowden Was Justified ,42.00,47.00
Politics,Obamacare Is Now Beyond Rescue,31.00,43.00
Social Justice,Don�T Eat Anything With A Face,25.00,41.00
Politics,"Spy On Me, I�D Rather Be Safe  ",33.00,41.00
Politics,The Constitutional Right To Bear Arms Has Outlived Its Usefulness  ,18.00,29.00
Economics,Let Anyone Take A Job Anywhere ,33.00,51.00
Politics,"For A Better Future, Live In A Red State ",22.00,32.00
Economics,Break Up The Big Banks,44.00,51.00
Politics,The U.S. Drone Program Is Fatally Flawed,43.00,49.00
Politics,The U.S. Has No Dog In The Fight In Syria,32.00,41.00
Politics,Cutting The Pentagon�S Budget Is A Gift To Our Enemies,21.00,36.00
Environment,The Fda�S Caution Is Hazardous To Our Health,44.00,57.00
Politics,The Gop Must Seize The Center Or Die,21.00,44.00
Economics,Abolish The Minimum Wage,21.00,25.00
Economics,America Doesn�T Need A Strong Dollar Policy,47.00,56.00
Social Justice,Prohibit Genetically Engineered Babies,46.00,58.00
Politics,Israel Can Live With A Nuclear Iran,40.00,48.00
Other,Science Refutes God,29.00,38.00
Social Justice,Legalize Drugs,32.00,44.00
Economics,The Rich Are Taxed Enough,23.00,36.00
Social Justice,Ration End-Of-Life Care,35.00,51.00
Politics,Better Elected Islamists Than Dictators,31.00,38.00
